Temperatures;kPa
273.25;0.61165
275.15;0.70599
277.15;0.81355
283.15;1.2282
287.15;1.599
291.15;2.0647
293.15;2.3393
298.15;3.1699
303.15;4.247
307.15;5.3251
313.15;7.3849
317.15;9.1124
323.15;12.352
327.15;15.022
333.15;19.946
343.15;31.201
353.15;47.414
363.15;70.182
369.15;87.771
373.15;101.42
383.15;143.38
393.15;198.67
403.15;270.28
413.15;361.54
423.15;476.16
433.15;618.23
453.15;1002.8
473.15;1554.9
493.15;2319.6
513.15;3346.9
533.15;4692.3
553.15;6416.6
573.15;8587.9
593.15;11284
613.15;14601
633.15;18666
643.15;21044
